Regione	Provincia	Codice	Scuola	Dominio	Mail	Google Suite	Microsoft 365
ABRUZZO	CHIETI	CHIC818001	"I.OMNICOMPR.""CIAMPOLI-SPAVENTA"""	http://www.omnicomprensivoatessa.gov.it	chic818001@pec.istruzione.it		
ABRUZZO	CHIETI	CHIC81900R	I.C.  BUCCHIANICO	www.istitutobucchianico.edu.it	chic81900r@pec.istruzione.it	5 alt1.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC82200L	I.C. MIGLIANICO	icmiglianico.edu.it	chic82200l@pec.istruzione.it	1 aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC82300C	I.C. ORSOGNA	http://www.istitutocomprensivoorsogna.it	chic82300c@pec.istruzione.it		
ABRUZZO	CHIETI	CHIC824008	I.C. MONTEODORISIO	http://www.icmonteodorisio.gov.it	chic824008@pec.istruzione.it		
ABRUZZO	CHIETI	CHIC825004	I.C. PALENA-TORRIC. PELIGNA	www.icpalenatorricella.edu.it	chic825004@pec.istruzione.it	5 alt1.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC82600X	"I.C.  QUADRI  ""B.CROCE"""		chic82600x@pec.istruzione.it		
ABRUZZO	CHIETI	CHIC82700Q	IST. COMPRENSIVO F.P. MICHETTI	www.icmichettifrancavilla.edu.it	chic82700q@pec.istruzione.it	10 alt4.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC82800G	"I.C. FRANCAVILLA ""F. MASCI"""	istitutocomprensivomasci.edu.it	chic82800g@pec.istruzione.it	10 aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC83000G	I.C. FARA FILIORUM PETRI	www.icfarafpetri.edu.it	chic83000g@pec.istruzione.it	1 aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC83100B	IC LANCIANO   UMBERTO I	www.icumbertoprimolanciano.edu.it	chic83100b@pec.istruzione.it	https://www.icumbertoprimolanciano.edu.it/index.php/covid-19-avvisi	
ABRUZZO	CHIETI	CHIC833003	I. C.  VASTO  N.1	www.ic1vasto.edu.it	chic833003@pec.istruzione.it	1 aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC83400V	"I. C.  VASTO  ""G.ROSSETTI"""	www.icrossettivasto.edu.it	chic83400v@pec.istruzione.it	10 alt3.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC83500P	I. C.  CHIETI  N.2	www.comprensivo2chieti.edu.it	chic83500p@pec.istruzione.it	5 alt2.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC83600E	I. C.  CHIETI  N.3	http://comprensivo3chieti.edu.it	chic83600e@pec.istruzione.it		
ABRUZZO	CHIETI	CHIC83700A	I. C.  CHIETI  N.4	chieti4comprensivo.edu.it	chic83700a@pec.istruzione.it	1 aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC838006	I. C.  CHIETI  N.1	http://www.comprensivounochieti.gov.it	chic838006@pec.istruzione.it		
ABRUZZO	CHIETI	CHIC839002	"I.C. LANCIANO ""DON L.MILANI"""	www.comprensivodonmilanilanciano.edu.it	chic839002@pec.istruzione.it	5 alt2.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC840006	"I.C. ""MARIO BOSCO"""	http://www.comprensivo1lanciano.gov.it	chic840006@pec.istruzione.it		
ABRUZZO	CHIETI	CHIC841002	I. C. MATILDE SERAO ORTONA  N.1	www.istitutocomprensivo1ortona.edu.it	chic841002@pec.istruzione.it	10 alt4.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC84200T	"I.C. ""FRANCESCO PAOLO TOSTI"""	www.istitutocomprensivofptostiortona.edu.it	chic84200t@pec.istruzione.it	10 alt3.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC84300N	"I.C. SAN SALVO 2""G. RODARI"""	www.icsansalvo2.edu.it	chic84300n@pec.istruzione.it	1 aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIS00300B	ALGERI MARINO  CASOLI	http://www.iisalgerimarino.gov.it	chis00300b@pec.istruzione.it		
ABRUZZO	CHIETI	CHIS00700P	IST OMN. R. MATTIOLI-S.D'ACQUISTO	www.omnisansalvo.edu.it	chis00700p@pec.istruzione.it	60 alt3.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIS00900A	V.EMANUELE II LANCIANO	www.iislanciano.edu.it	chis00900a@pec.istruzione.it	10 alt4.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIS01100A	DA VINCI - DE GIORGIO  LANCIANO	www.iisdavincidegiorgio.edu.it	chis01100a@pec.istruzione.it	https://www.iisdavincidegiorgio.edu.it/index.php/news/1073-creazione-classroom-su-gsuite	
ABRUZZO	CHIETI	CHIS012006	""" L. SAVOIA"""	www.savoiachieti.edu.it	chis012006@pec.istruzione.it	30 alt4.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIS013002	"ITI-LICEO SCIENTIFICO "" MATTEI """	http://www.iismatteivasto.edu.it	chis013002@pec.istruzione.it		
ABRUZZO	CHIETI	CHIS01400T	I.I.S.  PANTINI-PUDENTE	www.liceopudente.edu.it	chis01400t@pec.istruzione.it	5 alt1.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIS01600D	U. POMILIO  CHIETI	www.iispomilio.edu.it	chis01600d@pec.istruzione.it	30 alt3.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIS017009	"ISTITUTO ISTRUZIONE SUPERIORE ""A. VOLTA"""	www.liceoavolta.edu.it	chis017009@pec.istruzione.it	10 alt4.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIS018005	"""ACCIAIUOLI-EINAUDI""  ORTONA"	www.iisacciaiuolieinaudi.edu.it	chis018005@pec.istruzione.it	https://www.iisacciaiuolieinaudi.edu.it/download/45/regolamenti/7469/ps_ddi-21-22-signed.pdf	
ABRUZZO	CHIETI	CHIS019001	"""DE TITTA - FERMI"""	http://www.chis019001.gov.it	chis019001@pec.istruzione.it		
ABRUZZO	CHIETI	CHMM062004	I. OMNICOMPR N. DA GUARDIAGRELE	www.omnicomprensivoguardiagrele.edu.it	chmm062004@pec.istruzione.it	5 alt2.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHPM02000G	I. GONZAGA	http://www.magistralechieti.edu.it	chpm02000g@pec.istruzione.it		
ABRUZZO	CHIETI	CHPS01000X	F. MASCI   CHIETI	www.liceomasci.edu.it	chps01000x@pec.istruzione.it	10 alt3.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHPS02000E	G.GALILEI DI LANCIANO	www.scientificogalileilanciano.edu.it	chps02000e@pec.istruzione.it	5 alt2.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHPS030005	"POLO LICEALE STATALE ""R. MATTIOLI"""	https://www.liceoscientificovasto.edu.it/	chps030005@pec.istruzione.it		
ABRUZZO	CHIETI	CHRH01000N	G. MARCHITELLI	www.istitutoalberghierovillasantamaria.it	chrh01000n@pec.istruzione.it	10 alt2.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHTA02000X	"IST.  OMNICOMPR,  "" RIDOLFI -ZIMARINO """	www.ridolfizimarino.edu.it	chta02000x@pec.istruzione.it	10 alt3.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHTD04000G	"""F. PALIZZI""  VASTO"	www.palizzi.edu.it	chtd04000g@pec.istruzione.it	10 aspmx.l.google.com.	
ABRUZZO	CHIETI	CHTD07000B	"ISTITUTO OMNICOMPRENSIVO ""G. SPATARO"""	http://www.omnicomprensivospataro.it	chtd07000b@pec.istruzione.it		
ABRUZZO	CHIETI	CHTD11000L	GALIANI - DE STERLICH	http://www.galiani-desterlich.gov.it	chtd11000l@pec.istruzione.it		
ABRUZZO	CHIETI	CHVC010004	G. B. VICO	http://www.convittonazionalevicochieti.it	chvc010004@pec.istruzione.it		
ABRUZZO	L'AQUILA	AQIC81200L	IC BALSORANO	http://www.istitutocomprensivobalsorano.it	aqic81200l@pec.istruzione.it		
ABRUZZO	L'AQUILA	AQIC815004	ISTITUTO COMPR.  DON  L. MILANI	icpizzoli.edu.it	aqic815004@pec.istruzione.it	5 alt2.aspmx.l.google.com.	
ABRUZZO	L'AQUILA	AQIC81700Q	IC  G.TEDESCHI PRATOLA P.	https://www.icpratolapeligna.edu.it/	aqic81700q@pec.istruzione.it		
ABRUZZO	L'AQUILA	AQIC82000G	IC  B.CROCE	www.icpescasseroli.edu.it	aqic82000g@pec.istruzione.it	5 alt1.aspmx.l.google.com.	
ABRUZZO	L'AQUILA	AQIC82100B	IC  IGNAZIO SILONE	www.scuolelucodeimarsi.edu.it	aqic82100b@pec.istruzione.it	5 alt1.aspmx.l.google.com.	
ABRUZZO	L'AQUILA	AQIC823003	IC NAVELLI	www.icnavelli.edu.it	aqic823003@pec.istruzione.it	20 alt1.aspmx.l.google.com.	
ABRUZZO	L'AQUILA	AQIC82400V	"IC ""G. DI GIROLAMO"" MAGLIANO M."	www.scuolamaglianodemarsi.it	aqic82400v@pec.istruzione.it	https://www.scuolamaglianodemarsi.it/attachments/article/442/INFORMATIVA_GSUITE.pdf	
ABRUZZO	L'AQUILA	AQIC82500P	"I.C. ""SAN GIOVANNI BOSCO"""	www.icssangiovannibosco.it	aqic82500p@pec.istruzione.it	5 alt2.aspmx.l.google.com.	
ABRUZZO	L'AQUILA	AQIC82600E	IC UMBERTO POSTIGLIONE	http://raianoscuola.gov.it	aqic82600e@pec.istruzione.it		
ABRUZZO	L'AQUILA	AQIC82700A	IC  S.DEMETRIO -ROCCA DI MEZZO	www.icsandemetrio-roccadimezzo.edu.it	aqic82700a@pec.istruzione.it	10 alt3.aspmx.l.google.com.	50 icsandemetrioroccadimezzo-edu-it03c.mail.protection.outlook.com.
ABRUZZO	L'AQUILA	AQIC828006	IST. COMPRENSIVO  FONTAMARA	www.icfontamara.edu.it	aqic828006@pec.istruzione.it	1 aspmx.l.google.com.	
ABRUZZO	L'AQUILA	AQIC829002	ISTITUTO COMPRENSIVO  COMENIO	www.istitutocomenio.edu.it	aqic829002@pec.istruzione.it	50 alt3.aspmx.l.google.com.	
ABRUZZO	L'AQUILA	AQIC831002	ISTITUTO COMPRENSIVO TRASACCO	istitutocomprensivotrasacco.it	aqic831002@pec.istruzione.it		0 istitutocomprensivotrasacco-it.mail.protection.outlook.com.
ABRUZZO	L'AQUILA	AQIC83300N	"IST.COMPRENSIVO ""GIANNI RODARI"""	www.rodariscuola.edu.it	aqic83300n@pec.istruzione.it	50 alt3.aspmx.l.google.com.	
ABRUZZO	L'AQUILA	AQIC83400D	"N. 1 ""MAZZINI - CAPOGRASSI"""	ic1sulmona.edu.it	aqic83400d@pec.istruzione.it		0 ic1sulmona-edu-it.mail.protection.outlook.com.
ABRUZZO	L'AQUILA	AQIC835009	"I.C.""LOMBARDO RADICE""-""OVIDIO"""	http://www.icradiceovidio.edu.it	aqic835009@pec.istruzione.it		
ABRUZZO	L'AQUILA	AQIC836005	I.C. 'SERAFINI - L. DI STEFANO'	http://www.serafinidistefano.gov.it	aqic836005@pec.istruzione.it		
ABRUZZO	L'AQUILA	AQIC837001	ALDA MERINI	www.iccasteldisangro.edu.it	aqic837001@pec.istruzione.it	1 aspmx.l.google.com.	
ABRUZZO	L'AQUILA	AQIC83800R	IST.COMPRENSIVO  A. B. SABIN	http://iccapistrello.gov.it	aqic83800r@pec.istruzione.it		
ABRUZZO	L'AQUILA	AQIC83900L	"ISTITUTO COMPRENSIVO ""E.MATTEI"	http://www.scuolacivitellaroveto.it/	aqic83900l@pec.istruzione.it		
ABRUZZO	L'AQUILA	AQIC84000R	I.C. N. 1  G.MAZZINI-E.FERMI	www.istitutomazzinifermi.edu.it	aqic84000r@pec.istruzione.it	1 aspmx.l.google.com.	
ABRUZZO	L'AQUILA	AQIC84100L	I.C. CORRADINI -POMILIO	www.corradinipomilio.edu.it	aqic84100l@pec.istruzione.it	1 aspmx.l.google.com.	
ABRUZZO	L'AQUILA	AQIC84200C	I.C.  VIVENZA- GIOVANNI XXIII	http://www.ic3avezzano.it	aqic84200c@pec.istruzione.it		
ABRUZZO	L'AQUILA	AQIC843008	"I.C. N. 4 ""C. COLLODI-L.MARINI"""	http://www.istitutocomprensivocollodimarini.it	aqic843008@pec.istruzione.it		
ABRUZZO	L'AQUILA	AQIC84500X	ISTITUTO COMPRENSIVO DI CELANO	http://www.comprensivocelano.edu.it	aqic84500x@pec.istruzione.it		
ABRUZZO	L'AQUILA	AQIC84600Q	ISTITUTO COMPRENSIVO PAGANICA				
ABRUZZO	L'AQUILA	AQIC84700G	ISTITUTO COMPRENSIVO G. MAZZINI				
ABRUZZO	L'AQUILA	AQIC84800B	ISTITUTO COMPRENSIVO  D.ALIGHIE				
ABRUZZO	L'AQUILA	AQIC849007	ISTITUTO COMPRENSIVO G. CARDUCC				
ABRUZZO	L'AQUILA	AQIC85000B	ISTITUTO COMPRENSIVO T. PATINI				
ABRUZZO	L'AQUILA	AQIS002006	"ISTITUTO ISTRUZ. SUP.""PATINI-LIBERATORE"""	http://www.patiniliberatore.gov.it	aqis002006@pec.istruzione.it		
ABRUZZO	L'AQUILA	AQIS007009	"I.I.S. "" L. DA VINCI - O. COLECCHI"""	www.iisdavincicolecchiaq.edu.it	aqis007009@pec.istruzione.it	https://www.iisdavincicolecchiaq.edu.it/images/news/Anno_2020/Informativa_per_studenti-famiglie_sulluso_di_GSuite_1.pdf	
ABRUZZO	L'AQUILA	AQIS01200R	ISTITUTO SUPERIORE TORLONIA - BELLISARIO	http://www.torloniabellisario.it	aqis01200r@pec.istruzione.it		
ABRUZZO	L'AQUILA	AQIS01300L	"IST. D'ISTRUZIONE  SUPERIORE ""G.GALILEI"""	http://www.iisggalilei.gov.it	aqis01300l@pec.istruzione.it		
ABRUZZO	L'AQUILA	AQIS01400C	ISTITUTO SUPERIORE ETTORE MAJORANA	http://www.itisavezzano.it	aqis01400c@pec.istruzione.it		
ABRUZZO	L'AQUILA	AQIS016004	"ISTITUTO SUPERIORE ""AMEDEO D AOSTA"""	http://www.itcrendina.it	aqis016004@pec.istruzione.it		
ABRUZZO	L'AQUILA	AQIS01700X	I.P.A.A.  SERPIERI	www.agrarioavezzano.edu.it	aqis01700x@pec.istruzione.it	5 alt1.aspmx.l.google.com.	
ABRUZZO	L'AQUILA	AQIS01800Q	"I.I.S  ""A. BAFILE"""	http://www.iisbafile.gov.it	aqis01800q@pec.istruzione.it		
ABRUZZO	L'AQUILA	AQIS01900G	"I.I.S. ""E. FERMI"""	www.iisfermisulmona.it	aqis01900g@pec.istruzione.it	50 alt2.aspmx.l.google.com.	
ABRUZZO	L'AQUILA	AQIS02100G	"I.S.S. ""OVIDIO"""	http://www.istitutovicosulmona.it	aqis02100g@pec.istruzione.it		
ABRUZZO	L'AQUILA	AQMM02400X	SCUOLA MEDIA CARSOLI	www.omnicomprensivocarsoli.edu.it	aqmm02400x@pec.istruzione.it	https://www.omnicomprensivocarsoli.edu.it/attivazione-piattaforma-gsuite/	
ABRUZZO	L'AQUILA	AQMM060003	IST. ONNICOMPRENSIVO  A. ARGOLI	istitutoargoli.edu.it	aqmm060003@pec.istruzione.it	https://istitutoargoli.edu.it/wp-content/uploads/2021/09/Prot.-n.-6384-del-24-09-2021-FIRMATO_AGGIORNAMENTO-DELLE-CLASSROOM-SU-PIATTOFORMA-GSUITE-SETTEMBRE-2021.pdf	
ABRUZZO	L'AQUILA	AQPM01000G	"""BENEDETTO CROCE"""	www.liceocroceavezzano.edu.it	aqpm01000g@pec.istruzione.it	5 alt1.aspmx.l.google.com.	
ABRUZZO	L'AQUILA	AQPS03000Q	"""VITRUVIO POLLIONE"""	www.scientificoaz.it	aqps03000q@pec.istruzione.it	1 aspmx.l.google.com.	
ABRUZZO	L'AQUILA	AQRH010008	"""MONSIGNOR EDMONDO DE PANFILIS"""	www.omnicomprensivoroccaraso.edu.it	aqrh010008@pec.istruzione.it	10 alt4.aspmx.l.google.com.	
ABRUZZO	L'AQUILA	AQVC050005	D. COTUGNO	www.convittocotugno.edu.it	aqvc050005@pec.istruzione.it	5 alt2.aspmx.l.google.com.	
ABRUZZO	PESCARA	PEEE037001	D.D. MONTESILVANO	www.direzionedidatticamontesilvano.edu.it	peee037001@pec.istruzione.it	5 alt2.aspmx.l.google.com.	
ABRUZZO	PESCARA	PEEE052003	D.D. -LEVI MONTALCINI- SPOLTORE	www.circolodidatticospoltore.edu.it	peee052003@pec.istruzione.it		0 circolodidatticospoltore-edu-it.mail.protection.outlook.com.
ABRUZZO	PESCARA	PEIC80500B	"I.C. "" L. C. PARATORE""-PENNE"	http://www.icparatore.gov.it	peic80500b@pec.istruzione.it		
ABRUZZO	PESCARA	PEIC806007	I.C.  SPOLTORE	www.icspoltore.edu.it	peic806007@pec.istruzione.it	20 alt2.aspmx.l.google.com.	
ABRUZZO	PESCARA	PEIC807003	"I.C .""A.MANZI"" TORRE DE PASSERI"	www.ictorredepasseri.edu.it	peic807003@pec.istruzione.it	10 alt4.aspmx.l.google.com.	
ABRUZZO	PESCARA	PEIC81000V	I.C.  SAN VALENTINO-SCAFA	http://www.icsanvalentino.gov.it	peic81000v@pec.istruzione.it		
ABRUZZO	PESCARA	PEIC81100P	"IC .""P.GIOVANNI XXIII""-PIANELLA"	www.istitutocomprensivopianella.edu.it	peic81100p@pec.istruzione.it	5 alt2.aspmx.l.google.com.	
ABRUZZO	PESCARA	PEIC81200E	I. OMNICOMPRENSIVO ALANNO	www.omnicomprensivoalanno.edu.it	peic81200e@pec.istruzione.it	50 aspmx2.googlemail.com.	
ABRUZZO	PESCARA	PEIC81300A	I.C . CIVITELLA CASANOVA	http://www.iccivitellacasanova.gov.it/	peic81300a@pec.istruzione.it		
ABRUZZO	PESCARA	PEIC81700N	I.C. MANOPPELLO	http://icmanoppello.gov.it	peic81700n@pec.istruzione.it		
ABRUZZO	PESCARA	PEIC819009	I. C. ROSCIANO	istitutocomprensivorosciano.edu.it	peic819009@pec.istruzione.it	20 alt1.aspmx.l.google.com.	
ABRUZZO	PESCARA	PEIC82000D	I. C. CEPAGATTI	www.comprensivocepagatti.edu.it	peic82000d@pec.istruzione.it	50 alt4.aspmx.l.google.com.	
ABRUZZO	PESCARA	PEIC821009	I.C. COLLECORVINO	http://www.istitutocomprensivocollecorvino.edu.it	peic821009@pec.istruzione.it		
ABRUZZO	PESCARA	PEIC822005	I.C. LORETO APRUTINO	http://www.istitutocomprensivodiloretoaprutino.edu.it	peic822005@pec.istruzione.it		
ABRUZZO	PESCARA	PEIC823001	I.C. PESCARA 1	http://www.icpescarauno.gov.it	peic823001@pec.istruzione.it		
ABRUZZO	PESCARA	PEIC82500L	"I.C. ""MARIO GIARDINI"" - PENNE"	http://www.icgiardini.gov.it	peic82500l@pec.istruzione.it		
ABRUZZO	PESCARA	PEIC82600C	I.C. DELFICO - MONTESILVANO	http://www.ictroianodelfico.gov.it	peic82600c@pec.istruzione.it		
ABRUZZO	PESCARA	PEIC827008	VILLA VERROCCHIO	www.comprensivovillaverrocchio.edu.it	peic827008@pec.istruzione.it	10 alt3.aspmx.l.google.com.	
ABRUZZO	PESCARA	PEIC828004	I. C. I.SILONE-MONTESILVANO	www.icsilonemontesilvano.edu.it	peic828004@pec.istruzione.it	10 alt4.aspmx.l.google.com.	
ABRUZZO	PESCARA	PEIC82900X	I. C. CITTA' SANT ANGELO	www.iccsa.edu.it	peic82900x@pec.istruzione.it	10 aspmx.l.google.com.	
ABRUZZO	PESCARA	PEIC830004	I.C. PESCARA 7	www.icpescarasette.edu.it	peic830004@pec.istruzione.it	5 alt1.aspmx.l.google.com.	
ABRUZZO	PESCARA	PEIC83100X	I.C. PESCARA 2	http://istitutocomprensivopescara2.gov.it	peic83100x@pec.istruzione.it		
ABRUZZO	PESCARA	PEIC83200Q	I.C. PESCARA 6	http://www.comprensivopescara6.edu.it	peic83200q@pec.istruzione.it		
ABRUZZO	PESCARA	PEIC83300G	I.C. PESCARA 3	www.icpescara3.edu.it	peic83300g@pec.istruzione.it	http://www.icpescara3.edu.it/trattamento-dati-google-gsuite/	
ABRUZZO	PESCARA	PEIC83400B	I.C. PESCARA  5	www.icpescara5.edu.it	peic83400b@pec.istruzione.it	10 alt2.aspmx.l.google.com.	
ABRUZZO	PESCARA	PEIC835007	I.C. PESCARA 8	www.icpescara8.edu.it	peic835007@pec.istruzione.it	https://www.icpescara8.edu.it/wpnew/wp-content/uploads/2021/05/Regolamento-G-Suite-GENITORI.pdf	
ABRUZZO	PESCARA	PEIC836003	I.C. PESCARA 4	istitutocomprensivo4pe.edu.it	peic836003@pec.istruzione.it	5 alt2.aspmx.l.google.com.	
ABRUZZO	PESCARA	PEIC83700V	I.C. PESCARA 9	http://www.ic9pescara.edu.it	peic83700v@pec.istruzione.it		
ABRUZZO	PESCARA	PEIC83800P	I.C. PESCARA 10	http://www.montalecarducci.gov.it	peic83800p@pec.istruzione.it		
ABRUZZO	PESCARA	PEIC83900E	"I. C. ""RODARI"" -MONTESILVANO"	icrodari.edu.it	peic83900e@pec.istruzione.it	5 alt2.aspmx.l.google.com.	
ABRUZZO	PESCARA	PEIS001008	I. OMNICOMPRENSIVO POPOLI	http://omnicomprensivopopoli.edu.it/	peis001008@pec.istruzione.it		
ABRUZZO	PESCARA	PEIS00300X	"""E.ALESSANDRINI"""	italessandrini.edu.it	peis00300x@pec.istruzione.it	5 alt1.aspmx.l.google.com.	
ABRUZZO	PESCARA	PEIS00400Q	ISTITUTO OMNICOMPRENSIVO	www.omnicomprensivocsangelo.edu.it	peis00400q@pec.istruzione.it	10 alt3.aspmx.l.google.com.	
ABRUZZO	PESCARA	PEIS00600B	"""A. VOLTA"""	www.iisvoltapescara.edu.it	peis00600b@pec.istruzione.it	10 aspmx2.googlemail.com.	
ABRUZZO	PESCARA	PEIS01100V	"""L. DA PENNE""- ""M. DEI FIORI"""	http://www.liceopenne.edu.it	peis01100v@pec.istruzione.it		
ABRUZZO	PESCARA	PEPC010009	"LC ""GABRIELE D'ANNUNZIO"""	www.liceoclassicope.edu.it	pepc010009@pec.istruzione.it	50 alt4.aspmx.l.google.com.	
ABRUZZO	PESCARA	PEPM020004	"LICEO ""G. MARCONI"""	www.liceomarconipescara.edu.it	pepm020004@pec.istruzione.it	10 aspmx.l.google.com.	
ABRUZZO	PESCARA	PEPS01000C	""" L. DA VINCI"""		peps01000c@pec.istruzione.it		
ABRUZZO	PESCARA	PEPS03000N	""" G.GALILEI"""	www.galileipescara.edu.it	peps03000n@pec.istruzione.it	http://www.galileipescara.edu.it/sito/category/didattica/g-suite-for-education/	
ABRUZZO	PESCARA	PEPS05000V	"""C.D'ASCANIO"""	www.liceodascanio.edu.it	peps05000v@pec.istruzione.it		10 liceodascanio-edu-it.mail.protection.outlook.com.
ABRUZZO	PESCARA	PERH010006	"IPSSEOA ""FILIPPO DE CECCO"""	http://www.alberghierodececco.edu.it	perh010006@pec.istruzione.it		
ABRUZZO	PESCARA	PERI03000V	"""DI MARZIO-MICHETTI"""	www.ipsias-dimarziomichetti.it	peri03000v@pec.istruzione.it	20 alt1.aspmx.l.google.com.	1 ipsiasdimarziomichetti-it01e.mail.protection.outlook.com.
ABRUZZO	PESCARA	PESL03000E	LICEO ART-MUS-COR MISTICONI-BELLISARIO	http://www.mibe.gov.it	pesl03000e@pec.istruzione.it		
ABRUZZO	PESCARA	PETD010008	"""T. ACERBO"""	http://www.istitutotecnicoacerbope.gov.it	petd010008@pec.istruzione.it		
ABRUZZO	PESCARA	PETD03000D	"""G. MARCONI"" - PENNE"	http://www.istitutomarconi-penne.gov.it/	petd03000d@pec.istruzione.it		
ABRUZZO	PESCARA	PETD07000X	""" ATERNO - MANTHONE' """	http://www.manthone.gov.it	petd07000x@pec.istruzione.it		
ABRUZZO	TERAMO	TEIC813001	I.C. CORROPOLI-COLONNELLA-CONTR	www.iccorropoli.edu.it	teic813001@pec.istruzione.it		0 iccorropoli-edu-it.mail.protection.outlook.com.
ABRUZZO	TERAMO	TEIC81600C	I.C. VALLE DEL FINO	icvalledelfino.edu.it	teic81600c@pec.istruzione.it	50 alt1.aspmx.l.google.com.	
ABRUZZO	TERAMO	TEIC81900X	I.C. ISOLA DEL G. S. -COLLEDARA	www.icisolacolledara.it	teic81900x@pec.istruzione.it	10 alt4.aspmx.l.google.com.	
ABRUZZO	TERAMO	TEIC82100X	"IC CIVITELLA TORRICELLA ""R.L.M"""	http://www.iccivitella.it	teic82100x@pec.istruzione.it		
ABRUZZO	TERAMO	TEIC82200Q	I.C. ALBA ADRIATICA	http://www.icalbaadriatica.gov.it	teic82200q@pec.istruzione.it		
ABRUZZO	TERAMO	TEIC82300G	I.C. CAMPLI	www.iccampli.edu.it	teic82300g@pec.istruzione.it	10 aspmx.l.google.com.	
ABRUZZO	TERAMO	TEIC82400B	"I.C.CASTELLALTO-CELLINO""M.HACK"""	http://www.istitutocomprensivocastellalto.gov.it	teic82400b@pec.istruzione.it		
ABRUZZO	TERAMO	TEIC825007	I.C. MOSCIANO S.ANGELO-BELLANTE	http://www.icmosciano.gov.it/	teic825007@pec.istruzione.it		
ABRUZZO	TERAMO	TEIC826003	I.C. NERETO-S.OMERO	http://icneretosantomerotorano.it	teic826003@pec.istruzione.it		
